term	section	course	instructor	whenWhere
Summer 2021	5317	LT-110	Kirschner	NOT AVAILABLE
Summer 2021	921	MATH-021	Shah	NOT AVAILABLE
Summer 2021	910	MATH-035	Chan	NOT AVAILABLE
Summer 2021	930	MATH-042	Sohi	NOT AVAILABLE
Summer 2021	9183	MATH-042	Cruz	NOT AVAILABLE
Summer 2021	1019	MATH-114	Zhiv	NOT AVAILABLE
Summer 2021	1722	MATH-119	Tabara	NOT AVAILABLE
Summer 2021	1030	MATH-121	Newton	NOT AVAILABLE
Summer 2021	1031	MATH-121	Stitt	NOT AVAILABLE
Summer 2021	1721	MATH-121	Shah	NOT AVAILABLE
Summer 2021	5040	MATH-121	Walters	NOT AVAILABLE
Summer 2021	5057	MATH-121	Leon-Bravo	NOT AVAILABLE
Summer 2021	9221	MATH-121	Jamasbi	NOT AVAILABLE
Summer 2021	9240	MATH-121	Jamasbi	NOT AVAILABLE
Summer 2021	5025	MATH-124	Needham	NOT AVAILABLE
Summer 2021	1086	MATH-135	Tse	NOT AVAILABLE
Summer 2021	1210	MATH-135	Chan	NOT AVAILABLE
Summer 2021	5042	MATH-135	Pineda-Carranza	NOT AVAILABLE
Summer 2021	5114	MATH-135	Lang	NOT AVAILABLE
Summer 2021	9227	MATH-135	Abadia	NOT AVAILABLE
Summer 2021	1036	MATH-142	Willett	NOT AVAILABLE
Summer 2021	1037	MATH-142	Willett	NOT AVAILABLE
Summer 2021	1054	MATH-142	Willett	NOT AVAILABLE
Summer 2021	1330	MATH-142	Sohi	NOT AVAILABLE
Summer 2021	3095	MATH-142	Sohi	NOT AVAILABLE
Summer 2021	5022	MATH-142	Willett	NOT AVAILABLE
Summer 2021	5029	MATH-142	Carter	NOT AVAILABLE
Summer 2021	5035	MATH-142	Sohi	NOT AVAILABLE
Summer 2021	5077	MATH-142	Keating	NOT AVAILABLE
Summer 2021	5092	MATH-142	Keating	NOT AVAILABLE
